Starting price: $10.00
on day 1, price is $10.03
on day 308, price is $17.98
on day 309, price is $17.95
on day 310, price is $18.12
on day 311, price is $18.09
on day 312, price is $18.10
on day 313, price is $18.09
on day 314, price is $18.07
on day 315, price is $18.21
on day 316, price is $18.35
on day 317, price is $18.43
on day 318, price is $18.38
on day 319, price is $18.44
on day 320, price is $18.44
on day 321, price is $18.55
on day 322, price is $18.63
on day 323, price is $18.74
on day 324, price is $18.70
on day 325, price is $18.80
on day 326, price is $18.92
on day 327, price is $19.02
on day 328, price is $19.05
on day 329, price is $19.09
on day 330, price is $19.22
on day 331, price is $19.22
on day 332, price is $19.31
on day 333, price is $19.30
on day 334, price is $19.36
on day 335, price is $19.40
on day 336, price is $19.52
on day 337, price is $19.63
on day 338, price is $19.59
on day 339, price is $19.63
on day 340, price is $19.78
on day 341, price is $19.76
on day 342, price is $19.76
on day 343, price is $19.91
on day 344, price is $19.88
on day 345, price is $19.90
on day 346, price is $19.99
on day 347, price is $20.16
on day 348, price is $20.12
on day 349, price is $20.10
on day 350, price is $20.09
on day 351, price is $20.24
on day 352, price is $20.19
on day 353, price is $20.18
on day 354, price is $20.25
on day 355, price is $20.29
on day 356, price is $20.44
on day 357, price is $20.47
on day 358, price is $20.44
on day 359, price is $20.42
on day 360, price is $20.55
on day 361, price is $20.52
on day 362, price is $20.51
on day 363, price is $20.66
on day 364, price is $20.79
on day 365, price is $20.87
on day 366, price is $20.86
on day 367, price is $20.92
on day 368, price is $21.00
on day 369, price is $20.98
on day 370, price is $20.97
on day 371, price is $21.11
on day 372, price is $21.27
on day 373, price is $21.26
on day 374, price is $21.28
on day 375, price is $21.26
on day 376, price is $21.23
on day 377, price is $21.20
on day 378, price is $21.16
on day 379, price is $21.32
on day 380, price is $21.32
on day 381, price is $21.32
on day 382, price is $21.42
on day 383, price is $21.40
on day 384, price is $21.49
on day 385, price is $21.63
on day 386, price is $21.61
on day 387, price is $21.59
on day 388, price is $21.55
on day 389, price is $21.64
on day 390, price is $21.75
on day 391, price is $21.92
on day 392, price is $21.94
on day 393, price is $21.91
on day 394, price is $22.05
on day 395, price is $22.01
on day 396, price is $22.00
on day 397, price is $22.03
on day 398, price is $22.15
on day 399, price is $22.21
on day 400, price is $22.17
on day 401, price is $22.14
on day 402, price is $22.17
on day 403, price is $22.15
on day 404, price is $22.13
on day 405, price is $22.28
on day 406, price is $22.24
on day 407, price is $22.21
on day 408, price is $22.21
on day 409, price is $22.26
on day 410, price is $22.24
on day 411, price is $22.22
on day 412, price is $22.38
on day 413, price is $22.52
on day 414, price is $22.50
on day 415, price is $22.49
on day 416, price is $22.47
on day 417, price is $22.47
on day 418, price is $22.45
on day 419, price is $22.54
on day 420, price is $22.67
on day 421, price is $22.66
on day 422, price is $22.66
on day 423, price is $22.63
on day 424, price is $22.59
on day 425, price is $22.56
on day 426, price is $22.72
on day 427, price is $22.87
on day 428, price is $23.04
on day 429, price is $23.00
on day 430, price is $23.07
on day 431, price is $23.06
on day 432, price is $23.04
on day 433, price is $23.08
on day 434, price is $23.20
on day 435, price is $23.15
on day 436, price is $23.30
on day 437, price is $23.30
on day 438, price is $23.41
on day 439, price is $23.38
on day 440, price is $23.34
on day 441, price is $23.31
on day 442, price is $23.30
on day 443, price is $23.28
on day 444, price is $23.34
on day 445, price is $23.41
on day 446, price is $23.53
on day 447, price is $23.64
on day 448, price is $23.60
on day 449, price is $23.64
on day 450, price is $23.62
on day 451, price is $23.70
on day 452, price is $23.83
on day 453, price is $23.81
on day 454, price is $23.80
on day 455, price is $23.91
on day 456, price is $23.88
on day 457, price is $23.84
on day 458, price is $23.84
on day 459, price is $23.80
on day 460, price is $23.84
on day 461, price is $23.94
on day 462, price is $24.09
on day 463, price is $24.15
on day 464, price is $24.13
on day 465, price is $24.11
on day 466, price is $24.12
on day 467, price is $24.14
on day 468, price is $24.20
on day 469, price is $24.29
on day 470, price is $24.28
on day 471, price is $24.30
on day 472, price is $24.26
on day 473, price is $24.24
on day 474, price is $24.35
on day 475, price is $24.35
on day 476, price is $24.31
on day 477, price is $24.46
on day 478, price is $24.48
on day 479, price is $24.53
on day 480, price is $24.53
on day 481, price is $24.50
on day 482, price is $24.45
on day 483, price is $24.45
on day 484, price is $24.41
on day 485, price is $24.45
on day 486, price is $24.41
on day 487, price is $24.50
on day 488, price is $24.53
on day 489, price is $24.62
on day 490, price is $24.58
on day 491, price is $24.55
on day 492, price is $24.69
on day 493, price is $24.71
on day 494, price is $24.67
on day 495, price is $24.65
on day 496, price is $24.62
on day 497, price is $24.66
on day 498, price is $24.66
on day 499, price is $24.82
on day 500, price is $24.82
on day 501, price is $24.77
on day 502, price is $24.82
on day 503, price is $24.81
on day 504, price is $24.91
on day 505, price is $24.88
on day 506, price is $24.87
on day 507, price is $25.00
on day 508, price is $25.10
on day 509, price is $25.22
on day 510, price is $25.23
on day 511, price is $25.19
on day 512, price is $25.21
on day 513, price is $25.19
on day 514, price is $25.17
on day 515, price is $25.17
on day 516, price is $25.15
on day 517, price is $25.12
on day 518, price is $25.10
on day 519, price is $25.13
on day 520, price is $25.11
on day 521, price is $25.09
on day 522, price is $25.05
on day 523, price is $25.02
on day 524, price is $25.04
on day 525, price is $25.05
on day 526, price is $25.04
on day 527, price is $25.14
on day 528, price is $25.11
on day 529, price is $25.06
on day 530, price is $25.03
on day 531, price is $24.98
on day 532, price is $24.98
on day 533, price is $24.94
on day 534, price is $24.93
on day 535, price is $25.03
on day 536, price is $25.05
on day 537, price is $25.04
on day 538, price is $25.11
on day 539, price is $25.09
on day 540, price is $25.04
on day 541, price is $25.22
on day 542, price is $25.17
on day 543, price is $25.13
on day 544, price is $25.24
on day 545, price is $25.21
on day 546, price is $25.34
on day 547, price is $25.47
on day 548, price is $25.42
on day 549, price is $25.41
on day 550, price is $25.39
on day 551, price is $25.37
on day 552, price is $25.48
on day 553, price is $25.63
on day 554, price is $25.72
on day 555, price is $25.69
on day 556, price is $25.72
on day 557, price is $25.85
on day 558, price is $25.89
on day 559, price is $25.89
on day 560, price is $25.99
on day 561, price is $25.98
on day 562, price is $26.05
on day 563, price is $26.19
on day 564, price is $26.14
on day 565, price is $26.13
on day 566, price is $26.08
on day 567, price is $26.04
on day 568, price is $26.10
on day 569, price is $26.11
on day 570, price is $26.08
on day 571, price is $26.04
on day 572, price is $26.03
on day 573, price is $26.00
on day 574, price is $26.03
on day 575, price is $26.01
on day 576, price is $26.01
on day 577, price is $26.04
on day 578, price is $26.11
on day 579, price is $26.11
on day 580, price is $26.26
on day 581, price is $26.35
on day 582, price is $26.32
on day 583, price is $26.40
on day 584, price is $26.36
on day 585, price is $26.48
on day 586, price is $26.47
on day 587, price is $26.44
on day 588, price is $26.47
on day 589, price is $26.44
on day 590, price is $26.47
on day 591, price is $26.47
on day 592, price is $26.45
on day 593, price is $26.42
on day 594, price is $26.45
on day 595, price is $26.41
on day 596, price is $26.38
on day 597, price is $26.43
on day 598, price is $26.54
on day 599, price is $26.69
on day 600, price is $26.82
on day 601, price is $26.78
on day 602, price is $26.75
on day 603, price is $26.74
on day 604, price is $26.90
on day 605, price is $26.96
on day 606, price is $26.96
on day 607, price is $26.96
on day 608, price is $27.08
on day 609, price is $27.06
on day 610, price is $27.08
on day 611, price is $27.20
on day 612, price is $27.17
on day 613, price is $27.13
on day 614, price is $27.22
on day 615, price is $27.35
on day 616, price is $27.32
on day 617, price is $27.31
on day 618, price is $27.27
on day 619, price is $27.25
on day 620, price is $27.21
on day 621, price is $27.21
on day 622, price is $27.21
on day 623, price is $27.16
on day 624, price is $27.32
on day 625, price is $27.32
on day 626, price is $27.34
on day 627, price is $27.43
on day 628, price is $27.57
on day 629, price is $27.55
on day 630, price is $27.55
on day 631, price is $27.52
on day 632, price is $27.49
on day 633, price is $27.48
on day 634, price is $27.65
on day 635, price is $27.65
on day 636, price is $27.62
on day 637, price is $27.78
on day 638, price is $27.77
on day 639, price is $27.90
on day 640, price is $27.96
on day 641, price is $28.11
on day 642, price is $28.10
on day 643, price is $28.15
on day 644, price is $28.24
on day 645, price is $28.23
on day 646, price is $28.21
on day 647, price is $28.23
on day 648, price is $28.20
on day 649, price is $28.16
on day 650, price is $28.11
on day 651, price is $28.14
on day 652, price is $28.15
on day 653, price is $28.14
on day 654, price is $28.22
on day 655, price is $28.18
on day 656, price is $28.14
on day 657, price is $28.19
on day 658, price is $28.22
on day 659, price is $28.20
on day 660, price is $28.18
on day 661, price is $28.19
on day 662, price is $28.16
on day 663, price is $28.32
on day 664, price is $28.39
on day 665, price is $28.39
on day 666, price is $28.44
on day 667, price is $28.53
on day 668, price is $28.52
on day 669, price is $28.48
on day 670, price is $28.48
on day 671, price is $28.60
on day 672, price is $28.58
on day 673, price is $28.58
on day 674, price is $28.56
on day 675, price is $28.51
on day 676, price is $28.53
on day 677, price is $28.54
on day 678, price is $28.58
on day 679, price is $28.57
on day 680, price is $28.67
on day 681, price is $28.67
on day 682, price is $28.75
on day 683, price is $28.75
on day 684, price is $28.91
on day 685, price is $29.04
on day 686, price is $29.04
on day 687, price is $29.20
on day 688, price is $29.17
on day 689, price is $29.28
on day 690, price is $29.26
on day 691, price is $29.26
on day 692, price is $29.27
on day 693, price is $29.31
on day 694, price is $29.27
on day 695, price is $29.27
on day 696, price is $29.33
on day 697, price is $29.42
on day 698, price is $29.52
on day 699, price is $29.47
on day 700, price is $29.48
on day 701, price is $29.47
on day 702, price is $29.54
on day 703, price is $29.51
on day 704, price is $29.48
on day 705, price is $29.44
on day 706, price is $29.55
on day 707, price is $29.53
on day 708, price is $29.52
on day 709, price is $29.49
on day 710, price is $29.47
on day 711, price is $29.43
on day 712, price is $29.43
on day 713, price is $29.50
on day 714, price is $29.56
on day 715, price is $29.58
on day 716, price is $29.61
on day 717, price is $29.60
on day 718, price is $29.69
on day 719, price is $29.75
on day 720, price is $29.81
on day 721, price is $29.90
on day 722, price is $29.89
on day 723, price is $29.88
on day 724, price is $29.84
on day 725, price is $29.84
on day 726, price is $29.94
on day 727, price is $30.05
on day 728, price is $30.19
on day 729, price is $30.16
on day 730, price is $30.15
on day 731, price is $30.14
on day 732, price is $30.10
on day 733, price is $30.06
on day 734, price is $30.13
on day 735, price is $30.22
on day 736, price is $30.35
on day 737, price is $30.31
on day 738, price is $30.28
on day 739, price is $30.25
on day 740, price is $30.30
on day 741, price is $30.33
on day 742, price is $30.37
on day 743, price is $30.33
on day 744, price is $30.30
on day 745, price is $30.27
on day 746, price is $30.23
on day 747, price is $30.23
on day 748, price is $30.35
on day 749, price is $30.32
on day 750, price is $30.27
on day 751, price is $30.33
on day 752, price is $30.44
on day 753, price is $30.61
on day 754, price is $30.78
on day 755, price is $30.75
on day 756, price is $30.77
on day 757, price is $30.95
on day 758, price is $31.07
on day 759, price is $31.18
on day 760, price is $31.18
on day 761, price is $31.15
on day 762, price is $31.13
on day 763, price is $31.12
on day 764, price is $31.09
on day 765, price is $31.05
on day 766, price is $31.02
on day 767, price is $31.12
on day 768, price is $31.11
on day 769, price is $31.20
on day 770, price is $31.17
on day 771, price is $31.33
on day 772, price is $31.28
on day 773, price is $31.44
on day 774, price is $31.47
on day 775, price is $31.65
on day 776, price is $31.61
on day 777, price is $31.67
on day 778, price is $31.64
on day 779, price is $31.78
on day 780, price is $31.78
on day 781, price is $31.75
on day 782, price is $31.81
on day 783, price is $31.93
on day 784, price is $31.92
on day 785, price is $31.90
on day 786, price is $31.89
on day 787, price is $31.89
on day 788, price is $31.85
on day 789, price is $31.84
on day 790, price is $31.84
on day 791, price is $31.90
on day 792, price is $31.89
on day 793, price is $31.84
on day 794, price is $31.84
on day 795, price is $31.83
on day 796, price is $31.89
on day 797, price is $31.86
on day 798, price is $31.81
on day 799, price is $31.79
on day 800, price is $31.74
on day 801, price is $31.69
on day 802, price is $31.69
on day 803, price is $31.65
on day 804, price is $31.69
on day 805, price is $31.81
on day 806, price is $31.95
on day 807, price is $31.92
on day 808, price is $31.91
on day 809, price is $31.91
on day 810, price is $31.94
on day 811, price is $32.00
on day 812, price is $32.10
on day 813, price is $32.05
on day 814, price is $32.01
on day 815, price is $32.06
on day 816, price is $32.16
on day 817, price is $32.32
on day 818, price is $32.29
on day 819, price is $32.24
on day 820, price is $32.22
on day 821, price is $32.24
on day 822, price is $32.20
on day 823, price is $32.18
on day 824, price is $32.15
on day 825, price is $32.25
on day 826, price is $32.24
on day 827, price is $32.21
on day 828, price is $32.16
on day 829, price is $32.12
on day 830, price is $32.12
on day 831, price is $32.09
on day 832, price is $32.26
on day 833, price is $32.35
on day 834, price is $32.33
on day 835, price is $32.39
on day 836, price is $32.38
on day 837, price is $32.33
on day 838, price is $32.42
on day 839, price is $32.38
on day 840, price is $32.37
on day 841, price is $32.35
on day 842, price is $32.52
on day 843, price is $32.58
on day 844, price is $32.58
on day 845, price is $32.56
on day 846, price is $32.72
on day 847, price is $32.67
on day 848, price is $32.66
on day 849, price is $32.63
on day 850, price is $32.75
on day 851, price is $32.73
on day 852, price is $32.71
on day 853, price is $32.72
on day 854, price is $32.83
on day 855, price is $32.79
on day 856, price is $32.88
on day 857, price is $32.87
on day 858, price is $32.95
on day 859, price is $33.08
on day 860, price is $33.06
on day 861, price is $33.09
on day 862, price is $33.08
on day 863, price is $33.19
on day 864, price is $33.31
on day 865, price is $33.39
on day 866, price is $33.34
on day 867, price is $33.32
on day 868, price is $33.30
on day 869, price is $33.46
on day 870, price is $33.60
on day 871, price is $33.57
on day 872, price is $33.73
on day 873, price is $33.80
on day 874, price is $33.79
on day 875, price is $33.76
on day 876, price is $33.88
on day 877, price is $33.85
on day 878, price is $33.85
on day 879, price is $34.01
on day 880, price is $34.00
on day 881, price is $33.95
on day 882, price is $33.95
on day 883, price is $33.93
on day 884, price is $34.05
on day 885, price is $34.01
on day 886, price is $34.12
on day 887, price is $34.14
on day 888, price is $34.13
on day 889, price is $34.09
on day 890, price is $34.16
on day 891, price is $34.12
on day 892, price is $34.10
on day 893, price is $34.19
on day 894, price is $34.15
on day 895, price is $34.13
on day 896, price is $34.13
on day 897, price is $34.11
on day 898, price is $34.07
on day 899, price is $34.15
on day 900, price is $34.27
on day 901, price is $34.23
on day 902, price is $34.20
on day 903, price is $34.21
on day 904, price is $34.19
on day 905, price is $34.23
on day 906, price is $34.28
on day 907, price is $34.34
on day 908, price is $34.34
on day 909, price is $34.35
on day 910, price is $34.38
on day 911, price is $34.40
on day 912, price is $34.42
on day 913, price is $34.57
on day 914, price is $34.53
on day 915, price is $34.49
on day 916, price is $34.66
on day 917, price is $34.65
on day 918, price is $34.73
on day 919, price is $34.72
on day 920, price is $34.82
on day 921, price is $34.78
on day 922, price is $34.82
on day 923, price is $34.91
on day 924, price is $35.00
on day 925, price is $35.13
on day 926, price is $35.17
on day 927, price is $35.20
on day 928, price is $35.20
on day 929, price is $35.35
on day 930, price is $35.33
on day 931, price is $35.49
on day 932, price is $35.50
on day 933, price is $35.51
on day 934, price is $35.53
on day 935, price is $35.66
on day 936, price is $35.61
on day 937, price is $35.57
on day 938, price is $35.53
on day 939, price is $35.51
on day 940, price is $35.63
on day 941, price is $35.62
on day 942, price is $35.62
on day 943, price is $35.58
on day 944, price is $35.72
on day 945, price is $35.70
on day 946, price is $35.65
on day 947, price is $35.70
on day 948, price is $35.68
on day 949, price is $35.70
on day 950, price is $35.79
on day 951, price is $35.82
on day 952, price is $35.87
on day 953, price is $35.88
on day 954, price is $35.85
on day 955, price is $35.90
on day 956, price is $35.86
on day 957, price is $35.82
on day 958, price is $35.87
on day 959, price is $35.87
on day 960, price is $35.85
on day 961, price is $35.83
on day 962, price is $35.83
on day 963, price is $35.91
on day 964, price is $35.98
on day 965, price is $35.95
on day 966, price is $35.98
on day 967, price is $35.99
on day 968, price is $35.99
on day 969, price is $36.09
on day 970, price is $36.07
on day 971, price is $36.10
on day 972, price is $36.16
on day 973, price is $36.11
on day 974, price is $36.07
on day 975, price is $36.07
on day 976, price is $36.02
on day 977, price is $36.11
on day 978, price is $36.10
on day 979, price is $36.11
on day 980, price is $36.09
on day 981, price is $36.10
on day 982, price is $36.15
on day 983, price is $36.12
on day 984, price is $36.08
on day 985, price is $36.08
on day 986, price is $36.04
on day 987, price is $36.18
on day 988, price is $36.13
on day 989, price is $36.13
on day 990, price is $36.10
on day 991, price is $36.09
on day 992, price is $36.09
on day 993, price is $36.08
on day 994, price is $36.15
on day 995, price is $36.12
on day 996, price is $36.11
on day 997, price is $36.27
on day 998, price is $36.23
on day 999, price is $36.28
on day 1000, price is $36.40
on day 1001, price is $36.40
on day 1002, price is $36.38
on day 1003, price is $36.56
on day 1004, price is $36.52
on day 1005, price is $36.64
on day 1006, price is $36.78
on day 1007, price is $36.83
on day 1008, price is $36.80
on day 1009, price is $36.78
on day 1010, price is $36.92
on day 1011, price is $37.07
on day 1012, price is $37.06
on day 1013, price is $37.02
on day 1014, price is $37.18
on day 1015, price is $37.18
on day 1016, price is $37.19
on day 1017, price is $37.27
on day 1018, price is $37.35
on day 1019, price is $37.44
on day 1020, price is $37.43
on day 1021, price is $37.49
on day 1022, price is $37.44
on day 1023, price is $37.44
on day 1024, price is $37.40
on day 1025, price is $37.39
on day 1026, price is $37.35
on day 1027, price is $37.31
on day 1028, price is $37.35
on day 1029, price is $37.50
on day 1030, price is $37.49
on day 1031, price is $37.47
on day 1032, price is $37.47
on day 1033, price is $37.43
on day 1034, price is $37.46
on day 1035, price is $37.62
on day 1036, price is $37.78
on day 1037, price is $37.77
on day 1038, price is $37.87
on day 1039, price is $37.85
on day 1040, price is $38.00
on day 1041, price is $38.12
on day 1042, price is $38.11
on day 1043, price is $38.08
on day 1044, price is $38.10
on day 1045, price is $38.22
on day 1046, price is $38.20
on day 1047, price is $38.16
on day 1048, price is $38.27
on day 1049, price is $38.23
on day 1050, price is $38.18
on day 1051, price is $38.17
on day 1052, price is $38.14
on day 1053, price is $38.15
on day 1054, price is $38.25
on day 1055, price is $38.31
on day 1056, price is $38.48
on day 1057, price is $38.46
on day 1058, price is $38.42
on day 1059, price is $38.46
on day 1060, price is $38.43
on day 1061, price is $38.43
on day 1062, price is $38.43
on day 1063, price is $38.49
on day 1064, price is $38.65
on day 1065, price is $38.71
on day 1066, price is $38.75
on day 1067, price is $38.81
on day 1068, price is $38.88
on day 1069, price is $38.97
on day 1070, price is $39.02
on day 1071, price is $39.05
on day 1072, price is $39.02
on day 1073, price is $39.01
on day 1074, price is $39.13
on day 1075, price is $39.13
on day 1076, price is $39.14
on day 1077, price is $39.16
on day 1078, price is $39.14
on day 1079, price is $39.32
on day 1080, price is $39.31
on day 1081, price is $39.37
on day 1082, price is $39.47
on day 1083, price is $39.47
on day 1084, price is $39.44
on day 1085, price is $39.39
on day 1086, price is $39.52
on day 1087, price is $39.57
on day 1088, price is $39.52
on day 1089, price is $39.51
on day 1090, price is $39.49
on day 1091, price is $39.58
on day 1092, price is $39.60
on day 1093, price is $39.66
on day 1094, price is $39.63
on day 1095, price is $39.58
on day 1096, price is $39.55
on day 1097, price is $39.65
on day 1098, price is $39.60
on day 1099, price is $39.59
on day 1100, price is $39.56
on day 1101, price is $39.57
on day 1102, price is $39.55
on day 1103, price is $39.55
on day 1104, price is $39.53
on day 1105, price is $39.53
on day 1106, price is $39.51
on day 1107, price is $39.68
on day 1108, price is $39.80
on day 1109, price is $39.81
on day 1110, price is $39.77
on day 1111, price is $39.74
on day 1112, price is $39.76
on day 1113, price is $39.91
on day 1114, price is $39.90
on day 1115, price is $39.93
on day 1116, price is $39.96
on day 1117, price is $40.09
on day 1118, price is $40.11
on day 1119, price is $40.25
on day 1120, price is $40.32
on day 1121, price is $40.30
on day 1122, price is $40.30
on day 1123, price is $40.28
on day 1124, price is $40.24
on day 1125, price is $40.23
on day 1126, price is $40.22
on day 1127, price is $40.29
on day 1128, price is $40.42
on day 1129, price is $40.40
on day 1130, price is $40.38
on day 1131, price is $40.38
on day 1132, price is $40.41
on day 1133, price is $40.40
on day 1134, price is $40.48
on day 1135, price is $40.59
on day 1136, price is $40.74
on day 1137, price is $40.72
on day 1138, price is $40.72
on day 1139, price is $40.71
on day 1140, price is $40.81
on day 1141, price is $40.76
on day 1142, price is $40.79
on day 1143, price is $40.76
on day 1144, price is $40.79
on day 1145, price is $40.75
on day 1146, price is $40.86
on day 1147, price is $40.85
on day 1148, price is $40.84
on day 1149, price is $40.80
on day 1150, price is $40.79
on day 1151, price is $40.78
